position,№,wikipedia_link,Bakan,Göreve Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,Görev Başlangıcı,birth_year,birth_place,birth_date
Minister of Finance & Treasury,7,https://tr.wikipedia.org/wiki/Nurullah_Esat_S%C3%BCmer,Nurullah Esat Sümer,13 Eylül 1944,7 Ağustos 1946,,,,,1899,"İzmir, Osmanlı İmparatorluğu","13 Nisan 1899(1899-04-13)İzmir, Osmanlı İmparatorluğu"
Minister of Finance & Treasury,8,https://tr.wikipedia.org/wiki/Halit_Nazmi_Ke%C5%9Fmir,Halit Nazmi Keşmir,7 Ağustos 1946,23 Mart 1948,,,,,1897,"İbradı, Antalya, Osmanlı İmparatorluğu","1897İbradı, Antalya, Osmanlı İmparatorluğu"
Minister of Finance & Treasury,9,https://tr.wikipedia.org/wiki/Hasan_%C5%9Eevket_Adalan,Hasan Şevket Adalan,27 Mart 1948,16 Ocak 1949,,,,,1901,İzmir,1901İzmir
Minister of Finance & Treasury,10,https://tr.wikipedia.org/wiki/%C4%B0smail_R%C3%BC%C5%9Ft%C3%BC_Aksal,İsmail Rüştü Aksal,16 Ocak 1949,22 Mayıs 1950,,,,,1911,"Pamukova, Sakarya, Osmanlı İmparatorluğu","1911Pamukova, Sakarya, Osmanlı İmparatorluğu"
Minister of Finance & Treasury,11,https://tr.wikipedia.org/wiki/Halil_Ayan,Halil Ayan,22 Mayıs 1950,14 Aralık 1950,,Demokrat Parti,,,1904,,
Minister of Finance & Treasury,12,https://tr.wikipedia.org/wiki/Hasan_Polatkan,Hasan Polatkan,14 Aralık 1950,9 Aralık 1955,,,,,1915,"Eskişehir, Osmanlı İmparatorluğu","1915Eskişehir, Osmanlı İmparatorluğu"
Minister of Finance & Treasury,13,https://tr.wikipedia.org/wiki/Nedim_%C3%96kmen,Nedim Ökmen,9 Aralık 1955,24 Ağustos 1956,,,,,1908,,
Minister of Finance & Treasury,(12),https://tr.wikipedia.org/wiki/Hasan_Polatkan,Hasan Polatkan,3 Aralık 1956,27 Mayıs 1960,,,,,,,
Minister of Finance & Treasury,14,https://tr.wikipedia.org/wiki/Ekrem_Alican,Ekrem Alican,30 Mayıs 1960,26 Aralık 1960,,Askerî,,,1916,Adapazarı,Ali Ekrem1916Adapazarı
Minister of Finance & Treasury,15,https://tr.wikipedia.org/wiki/Mustafa_Kemal_Kurda%C5%9F,Mustafa Kemal Kurdaş,26 Aralık 1960,20 Kasım 1961,,,,,1920,"Bursa, Osmanlı İmparatorluğu","1920Bursa, Osmanlı İmparatorluğu"
Minister of Finance & Treasury,16,https://tr.wikipedia.org/wiki/Osman_%C5%9Eefik_%C4%B0nan,Osman Şefik İnan,20 Kasım 1961,25 Haziran 1962,,Cumhuriyet Halk Partisi,,,1913,"Kütahya, Türkiye","1913Kütahya, Türkiye"
Minister of Finance & Treasury,17,https://tr.wikipedia.org/wiki/Ferit_Melen,Ferit Melen,25 Haziran 1962,20 Şubat 1965,,,,,1906,"Van, Osmanlı İmparatorluğu","Ferit Sadi1906Van, Osmanlı İmparatorluğu"
Minister of Finance & Treasury,18,https://tr.wikipedia.org/wiki/%C4%B0hsan_G%C3%BCrsan,İhsan Gürsan,20 Şubat 1965,2 Kasım 1966,,Adalet Partisi,,,1903,"İstanbul, Osmanlı İmparatorluğu","1903İstanbul, Osmanlı İmparatorluğu"
Minister of Finance & Treasury,19,https://tr.wikipedia.org/wiki/Nevzat_Cihat_Bilgehan,Nevzat Cihat Bilgehan,14 Kasım 1966,3 Kasım 1969,,,,,1923,"Keskin, Kırıkkale","1923Keskin, Kırıkkale"
Minister of Finance & Treasury,20,https://tr.wikipedia.org/wiki/Ali_Mesut_Erez,Ali Mesut Erez,3 Kasım 1969,26 Mart 1971,,,,,1922,Kütahya,Ali Mesut1 Temmuz 1922Kütahya
Minister of Finance & Treasury,21,https://tr.wikipedia.org/wiki/Sait_Naci_Ergin,Sait Naci Ergin,26 Mart 1971,22 Mayıs 1972,,Bağımsız,,,1908,"Niğde, Osmanlı İmparatorluğu","1908Niğde, Osmanlı İmparatorluğu"
Minister of Finance & Treasury,22,https://tr.wikipedia.org/wiki/Ziya_M%C3%BCezzino%C4%9Flu,Ziya Müezzinoğlu,22 Mayıs 1972,15 Nisan 1973,,Cumhuriyet Halk Partisi,,,1919,"Kayseri, Türkiye","1919Kayseri, Türkiye"
Minister of Finance & Treasury,23,https://tr.wikipedia.org/wiki/Sad%C4%B1k_Tekin_M%C3%BCft%C3%BCo%C4%9Flu,Sadık Tekin Müftüoğlu,15 Nisan 1973,26 Ocak 1974,,Adalet Partisi,,,1927,,
Minister of Finance & Treasury,24,https://tr.wikipedia.org/wiki/Deniz_Baykal,Deniz Baykal,26 Ocak 1974,17 Kasım 1974,,Cumhuriyet Halk Partisi,,,,,
Minister of Finance & Treasury,25,https://tr.wikipedia.org/wiki/Bedri_G%C3%BCrsoy_(akademisyen),Bedri Gürsoy,17 Kasım 1974,31 Mart 1975,,Bağımsız,,,1916,"Çermik, Diyarbakır","1916Çermik, Diyarbakır"
Minister of Finance & Treasury,26,https://tr.wikipedia.org/wiki/Y%C4%B1lmaz_Ergenekon,Yılmaz Ergenekon,31 Mart 1975,21 Haziran 1977,,Adalet Partisi,,,1929,"Adapazarı, Türkiye","1929Adapazarı, Türkiye"
Minister of Finance & Treasury,27,https://tr.wikipedia.org/wiki/Besim_%C3%9Cst%C3%BCnel,Besim Üstünel,21 Haziran 1977,21 Temmuz 1977,,Cumhuriyet Halk Partisi,,,1927,"Gaziantep, Türkiye","1927Gaziantep, Türkiye"
Minister of Finance & Treasury,28,https://tr.wikipedia.org/wiki/Nevzat_Cihat_Bilgehan,Nevzat Cihat Bilgehan,21 Temmuz 1977,5 Ocak 1978,,Adalet Partisi,,,,,
Minister of Finance & Treasury,(22),https://tr.wikipedia.org/wiki/Ziya_M%C3%BCezzino%C4%9Flu,Ziya Müezzinoğlu,5 Ocak 1978,12 Kasım 1979,,Cumhuriyet Halk Partisi,,,,,
