position,№,wikipedia_link,Bakan,Görev Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,birth_year,birth_place,birth_date
Minister of Interior,62,https://tr.wikipedia.org/wiki/Be%C5%9Fir_Atalay,Beşir Atalay,29 Ağustos 2007,8 Mart 2011,,Adalet ve Kalkınma Partisi,,1947,"Armutlu, Keskin, Kırıkkale, Türkiye","1 Nisan 1947 (78 yaşında)Armutlu, Keskin, Kırıkkale, Türkiye"
Minister of Interior,(61),https://tr.wikipedia.org/wiki/Osman_G%C3%BCne%C5%9F,Osman Güneş,8 Mart 2011,6 Temmuz 2011,,Bağımsız (Bürokrat),,,,
Minister of Interior,63,https://tr.wikipedia.org/wiki/%C4%B0dris_Naim_%C5%9Eahin,İdris Naim Şahin,6 Temmuz 2011,24 Ocak 2013,,Adalet ve Kalkınma Partisi,,1956,"Ünye, Ordu","1 Haziran 1956 (69 yaşında)Ünye, Ordu"
Minister of Interior,64,https://tr.wikipedia.org/wiki/Muammer_G%C3%BCler,Muammer Güler,24 Ocak 2013,25 Aralık 2013,,,,1949,Mardin,21 Mart 1949 (76 yaşında)Mardin
Minister of Interior,65,https://tr.wikipedia.org/wiki/Efkan_%C3%82l%C3%A2,Efkan Âlâ,25 Aralık 2013,6 Mart 2015,,,,1965,"Oltu, Erzurum, Türkiye","21 Şubat 1965 (60 yaşında)Oltu, Erzurum, Türkiye"
Minister of Interior,66,https://tr.wikipedia.org/wiki/Sebahattin_%C3%96zt%C3%BCrk,Sebahattin Öztürk,7 Mart 2015,28 Ağustos 2015,,Bağımsız (Bürokrat),,1962,"Akdoğan, Çaykara, Trabzon, Türkiye","1 Temmuz 1962 (63 yaşında)Akdoğan, Çaykara, Trabzon, Türkiye"
Minister of Interior,67,https://tr.wikipedia.org/wiki/Selami_Alt%C4%B1nok,Selami Altınok,28 Ağustos 2015,24 Kasım 2015,,Bağımsız,,1966,"Narman, Erzurum, Türkiye","20 Ocak 1966 (60 yaşında)Narman, Erzurum, Türkiye"
Minister of Interior,(65),https://tr.wikipedia.org/wiki/Efkan_%C3%82l%C3%A2,Efkan Âlâ,24 Kasım 2015,31 Ağustos 2016,,Adalet ve Kalkınma Partisi,,,,
Minister of Interior,68,https://tr.wikipedia.org/wiki/S%C3%BCleyman_Soylu,Süleyman Soylu,31 Ağustos 2016,4 Haziran 2023,,,,1969,"İstanbul, Türkiye","21 Kasım 1969 (56 yaşında)İstanbul, Türkiye"
Minister of Interior,69,https://tr.wikipedia.org/wiki/Ali_Yerlikaya,Ali Yerlikaya,4 Haziran 2023,Görevde,,,,1968,"Selçuklu, Konya, Türkiye","11 Ekim 1968 (57 yaşında)Selçuklu, Konya, Türkiye"
