position,№,wikipedia_link,Bakan,Görev Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,birth_year,birth_place,birth_date
Minister of Justice,15,https://tr.wikipedia.org/wiki/Halil_%C3%96zy%C3%B6r%C3%BCk,Halil Özyörük,22 Mayıs 1950,9 Mart 1951,,Demokrat Parti,,1884,"İstanbul, Türkiye","14 Haziran 1884İstanbul, Türkiye"
Minister of Justice,16,https://tr.wikipedia.org/wiki/R%C3%BCknettin_Nasuhio%C4%9Flu,Rüknettin Nasuhioğlu,9 Mart 1951,10 Kasım 1952,,,,,,
Minister of Justice,17,https://tr.wikipedia.org/wiki/Osman_%C5%9Eevki_%C3%87i%C3%A7ekda%C4%9F,Osman Şevki Çiçekdağ,10 Kasım 1952,9 Aralık 1955,,,,1899,"Çiçekdağı, Osmanlı İmparatorluğu","1899Çiçekdağı, Osmanlı İmparatorluğu"
Minister of Justice,18,https://tr.wikipedia.org/wiki/H%C3%BCseyin_Avni_G%C3%B6kt%C3%BCrk,Hüseyin Avni Göktürk,9 Aralık 1952,25 Kasım 1957,,,,1901,Niğde,1901Niğde
Minister of Justice,19,https://tr.wikipedia.org/wiki/Esat_Budako%C4%9Flu,Esat Budakoğlu,25 Kasım 1957,3 Nisan 1960,,,,1911,"Balıkesir, Osmanlı İmparatorluğu","1911Balıkesir, Osmanlı İmparatorluğu"
Minister of Justice,20,https://tr.wikipedia.org/wiki/H%C3%BCseyin_Celal_Yard%C4%B1mc%C4%B1,Hüseyin Celal Yardımcı,3 Nisan 1960,27 Mayıs 1960,,,,1911,Doğubayazıt,1911Doğubayazıt
Minister of Justice,21,https://tr.wikipedia.org/wiki/Abdullah_Pulat_G%C3%B6z%C3%BCb%C3%BCy%C3%BCk,Abdullah Pulat Gözübüyük,30 Mayıs 1960,27 Ağustos 1960,,Askerî,,1912,"Kayseri, Osmanlı İmparatorluğu","1912Kayseri, Osmanlı İmparatorluğu"
Minister of Justice,22,https://tr.wikipedia.org/wiki/Mustafa_Amil_Artus,Mustafa Amil Artus,27 Ağustos 1960,5 Ocak 1961,,,,1911,"Bursa, Osmanlı İmparatorluğu","1911Bursa, Osmanlı İmparatorluğu"
Minister of Justice,23,https://tr.wikipedia.org/wiki/Ekrem_T%C3%BCzemen,Ekrem Tüzemen,5 Ocak 1961,17 Ağustos 1961,,,,1915,"Hozat, Tunceli, Osmanlı İmparatorluğu","1915Hozat, Tunceli, Osmanlı İmparatorluğu"
Minister of Justice,24,https://tr.wikipedia.org/wiki/Kemal_T%C3%BCrko%C4%9Flu,Kemal Türkoğlu,17 Ağustos 1961,20 Kasım 1961,,,,1911,"Mardin, Osmanlı İmparatorluğu","1911Mardin, Osmanlı İmparatorluğu"
Minister of Justice,25,https://tr.wikipedia.org/wiki/Kemal_Sahir_Kurutluo%C4%9Flu,Kemal Sahir Kurutluoğlu,20 Kasım 1961,25 Haziran 1962,,Cumhuriyet Halk Partisi,,,,
Minister of Justice,26,https://tr.wikipedia.org/wiki/Abd%C3%BClhak_Kemal_Y%C3%B6r%C3%BCk,Abdülhak Kemal Yörük,25 Haziran 1962,25 Aralık 1963,,Cumhuriyetçi Köylü Millet Partisi,,1898,"İstanbul, Osmanlı İmparatorluğu","1898İstanbul, Osmanlı İmparatorluğu"
Minister of Justice,27,https://tr.wikipedia.org/wiki/Mehmet_Sedat_%C3%87umral%C4%B1,Mehmet Sedat Çumralı,25 Aralık 1962,15 Aralık 1964,,Cumhuriyet Halk Partisi,,1904,"Çumra, Konya, Osmanlı İmparatorluğu","1904Çumra, Konya, Osmanlı İmparatorluğu"
Minister of Justice,28,https://tr.wikipedia.org/wiki/S%C4%B1rr%C4%B1_Atalay,Sırrı Atalay,15 Aralık 1964,20 Şubat 1965,,,,1919,"Pasinler, Osmanlı İmparatorluğu","1919Pasinler, Osmanlı İmparatorluğu"
Minister of Justice,29,https://tr.wikipedia.org/wiki/%C4%B0rfan_Baran,İrfan Baran,20 Şubat 1965,31 Temmuz 1965,,Cumhuriyetçi Köylü Millet Partisi,,1927,"Karaman, Türkiye","1927Karaman, Türkiye"
Minister of Justice,30,https://tr.wikipedia.org/wiki/%C4%B0hsan_K%C3%B6knel,İhsan Köknel,31 Temmuz 1965,27 Ekim 1965,,Adalet Partisi,,1904,"Nallıhan, Ankara, Osmanlı İmparatorluğu","1904Nallıhan, Ankara, Osmanlı İmparatorluğu"
Minister of Justice,31,https://tr.wikipedia.org/wiki/Hasan_Din%C3%A7er,Hasan Dinçer,27 Ekim 1965,1 Ağustos 1969,,,,1910,"Sandıklı, Afyonkarahisar, Osmanlı İmparatorluğu","1910Sandıklı, Afyonkarahisar, Osmanlı İmparatorluğu"
Minister of Justice,32,https://tr.wikipedia.org/wiki/Hidayet_Ayd%C4%B1ner,Hidayet Aydıner,1 Ağustos 1969,3 Kasım 1969,,,,1900,"Hadim, Konya, Osmanlı İmparatorluğu","1900Hadim, Konya, Osmanlı İmparatorluğu"
Minister of Justice,33,https://tr.wikipedia.org/wiki/Yusuf_Ziya_%C3%96nder,Yusuf Ziya Önder,3 Kasım 1969,26 Mart 1971,,,,1914,"Zara, Sivas, Osmanlı İmparatorluğu","1914Zara, Sivas, Osmanlı İmparatorluğu"
Minister of Justice,34,https://tr.wikipedia.org/wiki/%C4%B0smail_Hakk%C4%B1_Arar,İsmail Hakkı Arar,26 Mart 1971,11 Aralık 1971,,Cumhuriyet Halk Partisi,,1921,"Kadıköy, İstanbul, Osmanlı İmparatorluğu, [1]","1921Kadıköy, İstanbul, Osmanlı İmparatorluğu[1]"
Minister of Justice,35,https://tr.wikipedia.org/wiki/Suat_Bilge,Suat Bilge,11 Aralık 1971,22 Mayıs 1972,,Bağımsız,,1921,"İstanbul, Osmanlı İmparatorluğu","1921İstanbul, Osmanlı İmparatorluğu"
Minister of Justice,36,https://tr.wikipedia.org/wiki/Hasan_Fehmi_Alpaslan,Hasan Fehmi Alpaslan,22 Mayıs 1972,15 Nisan 1973,,Cumhuriyet Halk Partisi,,1918,"Ardanuç, [1], Artvin, Osmanlı İmparatorluğu","1918Ardanuç,[1] Artvin, Osmanlı İmparatorluğu"
Minister of Justice,37,https://tr.wikipedia.org/wiki/Mehmet_Hayri_Mumcuo%C4%9Flu,Mehmet Hayri Mumcuoğlu,15 Nisan 1973,26 Ocak 1974,,,,1914,"İstanbul, Osmanlı İmparatorluğu","1914İstanbul, Osmanlı İmparatorluğu"
